Ep: 560 | Steps: 55630 | AvgSPE: 99.3 |Epsilon: 0.4314 | Skor: -1.0 / 1.0
Ep: 570 | Steps: 56795 | AvgSPE: 99.6 |Epsilon: 0.4250 | Skor: 1.1 / -1.0
Ep: 580 | Steps: 57848 | AvgSPE: 99.7 |Epsilon: 0.4187 | Skor: 1.0 / -1.0
Ep: 590 | Steps: 58933 | AvgSPE: 99.9 |Epsilon: 0.4124 | Skor: 1.0 / -1.0
Ep: 600 | Steps: 59989 | AvgSPE: 100.0 |Epsilon: 0.4063 | Skor: 1.0 / -1.0
Ep: 610 | Steps: 60847 | AvgSPE: 99.7 |Epsilon: 0.4002 | Skor: -1.0 / 1.0
Ep: 620 | Steps: 61778 | AvgSPE: 99.6 |Epsilon: 0.3943 | Skor: -1.0 / 1.0
Ep: 630 | Steps: 63497 | AvgSPE: 100.8 |Epsilon: 0.3884 | Skor: -1.0 / 1.1
Ep: 640 | Steps: 64500 | AvgSPE: 100.8 |Epsilon: 0.3826 | Skor: -1.0 / 1.0
Ep: 650 | Steps: 65565 | AvgSPE: 100.9 |Epsilon: 0.3769 | Skor: 1.0 / -1.0
Ep: 660 | Steps: 66315 | AvgSPE: 100.5 |Epsilon: 0.3713 | Skor: -1.0 / 1.0
Ep: 670 | Steps: 67285 | AvgSPE: 100.4 |Epsilon: 0.3658 | Skor: 1.0 / -1.0
Ep: 680 | Steps: 68373 | AvgSPE: 100.5 |Epsilon: 0.3603 | Skor: -1.0 / 1.0
Ep: 690 | Steps: 69586 | AvgSPE: 100.8 |Epsilon: 0.3550 | Skor: -1.0 / 1.1
Ep: 700 | Steps: 71038 | AvgSPE: 101.5 |Epsilon: 0.3497 | Skor: -0.9 / 1.1
Ep: 710 | Steps: 72001 | AvgSPE: 101.4 |Epsilon: 0.3445 | Skor: -1.0 / 1.0
Ep: 720 | Steps: 73642 | AvgSPE: 102.3 |Epsilon: 0.3393 | Skor: -1.0 / 1.1
Ep: 730 | Steps: 74505 | AvgSPE: 102.1 |Epsilon: 0.3343 | Skor: 1.1 / -1.0
Ep: 740 | Steps: 75356 | AvgSPE: 101.8 |Epsilon: 0.3293 | Skor: 1.0 / -1.0
Ep: 750 | Steps: 77296 | AvgSPE: 103.1 |Epsilon: 0.3244 | Skor: -1.0 / 1.1
Ep: 760 | Steps: 78200 | AvgSPE: 102.9 |Epsilon: 0.3195 | Skor: 1.0 / -1.0
Ep: 770 | Steps: 79659 | AvgSPE: 103.5 |Epsilon: 0.3148 | Skor: 1.1 / -0.9
Ep: 780 | Steps: 80671 | AvgSPE: 103.4 |Epsilon: 0.3101 | Skor: -1.0 / 1.0
Ep: 790 | Steps: 81710 | AvgSPE: 103.4 |Epsilon: 0.3055 | Skor: -1.0 / 1.0
Ep: 800 | Steps: 83060 | AvgSPE: 103.8 |Epsilon: 0.3009 | Skor: 1.1 / -0.9
Ep: 810 | Steps: 84306 | AvgSPE: 104.1 |Epsilon: 0.2964 | Skor: -1.0 / 1.0
Ep: 820 | Steps: 85689 | AvgSPE: 104.5 |Epsilon: 0.2920 | Skor: -1.0 / 1.1
Ep: 830 | Steps: 86839 | AvgSPE: 104.6 |Epsilon: 0.2877 | Skor: 1.0 / -1.0
Ep: 840 | Steps: 88510 | AvgSPE: 105.4 |Epsilon: 0.2834 | Skor: -1.0 / 1.0
Ep: 850 | Steps: 90134 | AvgSPE: 106.0 |Epsilon: 0.2792 | Skor: -0.9 / 1.2
Ep: 860 | Steps: 91196 | AvgSPE: 106.0 |Epsilon: 0.2750 | Skor: 1.0 / -1.0
Ep: 870 | Steps: 92622 | AvgSPE: 106.5 |Epsilon: 0.2709 | Skor: -1.0 / 1.1
Ep: 880 | Steps: 93698 | AvgSPE: 106.5 |Epsilon: 0.2669 | Skor: -1.0 / 1.0
Ep: 890 | Steps: 95463 | AvgSPE: 107.3 |Epsilon: 0.2629 | Skor: 1.1 / -1.0
Ep: 900 | Steps: 97328 | AvgSPE: 108.1 |Epsilon: 0.2590 | Skor: 1.2 / -0.9
Ep: 910 | Steps: 98766 | AvgSPE: 108.5 |Epsilon: 0.2551 | Skor: -1.0 / 1.0
Ep: 920 | Steps: 100633 | AvgSPE: 109.4 |Epsilon: 0.2513 | Skor: 1.1 / -1.0
Ep: 930 | Steps: 102138 | AvgSPE: 109.8 |Epsilon: 0.2476 | Skor: 1.1 / -1.0
Ep: 940 | Steps: 104121 | AvgSPE: 110.8 |Epsilon: 0.2439 | Skor: -1.0 / 1.1
Ep: 950 | Steps: 106069 | AvgSPE: 111.7 |Epsilon: 0.2403 | Skor: -1.0 / 1.1
Ep: 960 | Steps: 108065 | AvgSPE: 112.6 |Epsilon: 0.2367 | Skor: 1.2 / -0.8
Ep: 970 | Steps: 109643 | AvgSPE: 113.0 |Epsilon: 0.2331 | Skor: -0.9 / 1.1
Ep: 980 | Steps: 111164 | AvgSPE: 113.4 |Epsilon: 0.2297 | Skor: 1.1 / -1.0
Ep: 990 | Steps: 112806 | AvgSPE: 113.9 |Epsilon: 0.2262 | Skor: 1.1 / -1.0
Ep: 1000 | Steps: 115246 | AvgSPE: 115.2 |Epsilon: 0.2229 | Skor: -1.0 / 1.0
Ep: 1010 | Steps: 116569 | AvgSPE: 115.4 |Epsilon: 0.2196 | Skor: -1.0 / 1.0
Ep: 1020 | Steps: 117764 | AvgSPE: 115.5 |Epsilon: 0.2163 | Skor: 1.0 / -1.0
Ep: 1030 | Steps: 119509 | AvgSPE: 116.0 |Epsilon: 0.2131 | Skor: -1.0 / 1.0
Ep: 1040 | Steps: 122838 | AvgSPE: 118.1 |Epsilon: 0.2099 | Skor: -1.0 / 1.0
Ep: 1050 | Steps: 124951 | AvgSPE: 119.0 |Epsilon: 0.2068 | Skor: -0.9 / 1.1
Ep: 1060 | Steps: 126705 | AvgSPE: 119.5 |Epsilon: 0.2037 | Skor: 1.1 / -1.0
Ep: 1070 | Steps: 128494 | AvgSPE: 120.1 |Epsilon: 0.2006 | Skor: -1.0 / 1.1
Ep: 1080 | Steps: 130724 | AvgSPE: 121.0 |Epsilon: 0.1977 | Skor: -1.0 / 1.0
Ep: 1090 | Steps: 131623 | AvgSPE: 120.8 |Epsilon: 0.1947 | Skor: -1.0 / 1.0
Ep: 1100 | Steps: 133353 | AvgSPE: 121.2 |Epsilon: 0.1918 | Skor: -1.0 / 1.0
Ep: 1110 | Steps: 135207 | AvgSPE: 121.8 |Epsilon: 0.1890 | Skor: 1.1 / -1.0
Ep: 1120 | Steps: 137301 | AvgSPE: 122.6 |Epsilon: 0.1861 | Skor: -1.0 / 1.0
Ep: 1130 | Steps: 138761 | AvgSPE: 122.8 |Epsilon: 0.1834 | Skor: -1.0 / 1.1
Ep: 1140 | Steps: 140159 | AvgSPE: 122.9 |Epsilon: 0.1806 | Skor: -1.0 / 1.0
Ep: 1150 | Steps: 141721 | AvgSPE: 123.2 |Epsilon: 0.1779 | Skor: -1.0 / 1.1
Ep: 1160 | Steps: 144045 | AvgSPE: 124.2 |Epsilon: 0.1753 | Skor: -1.0 / 1.0
Ep: 1170 | Steps: 145237 | AvgSPE: 124.1 |Epsilon: 0.1727 | Skor: 1.1 / -0.9
Ep: 1180 | Steps: 146908 | AvgSPE: 124.5 |Epsilon: 0.1701 | Skor: -1.0 / 1.1
Ep: 1190 | Steps: 149332 | AvgSPE: 125.5 |Epsilon: 0.1676 | Skor: -1.0 / 1.1
Ep: 1200 | Steps: 151478 | AvgSPE: 126.2 |Epsilon: 0.1651 | Skor: -1.0 / 1.0
Ep: 1210 | Steps: 152736 | AvgSPE: 126.2 |Epsilon: 0.1626 | Skor: 1.1 / -1.0
Ep: 1220 | Steps: 153872 | AvgSPE: 126.1 |Epsilon: 0.1602 | Skor: -1.0 / 1.0
Ep: 1230 | Steps: 157011 | AvgSPE: 127.7 |Epsilon: 0.1578 | Skor: 1.2 / -0.9
Ep: 1240 | Steps: 159000 | AvgSPE: 128.2 |Epsilon: 0.1555 | Skor: -0.9 / 1.2
Ep: 1250 | Steps: 161877 | AvgSPE: 129.5 |Epsilon: 0.1531 | Skor: 1.2 / -0.9
Ep: 1260 | Steps: 163835 | AvgSPE: 130.0 |Epsilon: 0.1509 | Skor: -0.9 / 1.1
Ep: 1270 | Steps: 167646 | AvgSPE: 132.0 |Epsilon: 0.1486 | Skor: -0.9 / 1.1
Ep: 1280 | Steps: 173050 | AvgSPE: 135.2 |Epsilon: 0.1464 | Skor: 1.1 / -1.0
Ep: 1290 | Steps: 176305 | AvgSPE: 136.7 |Epsilon: 0.1442 | Skor: 1.1 / -1.0
Ep: 1300 | Steps: 178454 | AvgSPE: 137.3 |Epsilon: 0.1421 | Skor: -0.9 / 1.1
Ep: 1310 | Steps: 181733 | AvgSPE: 138.7 |Epsilon: 0.1399 | Skor: -1.0 / 1.1
Ep: 1320 | Steps: 184542 | AvgSPE: 139.8 |Epsilon: 0.1379 | Skor: -0.9 / 1.2
Ep: 1330 | Steps: 188179 | AvgSPE: 141.5 |Epsilon: 0.1358 | Skor: -0.9 / 1.2
Ep: 1340 | Steps: 192569 | AvgSPE: 143.7 |Epsilon: 0.1338 | Skor: -0.9 / 1.2
Ep: 1350 | Steps: 195461 | AvgSPE: 144.8 |Epsilon: 0.1318 | Skor: 1.5 / -0.5
Ep: 1360 | Steps: 197568 | AvgSPE: 145.3 |Epsilon: 0.1298 | Skor: -0.9 / 1.2
Ep: 1370 | Steps: 202213 | AvgSPE: 147.6 |Epsilon: 0.1279 | Skor: -0.9 / 1.2
Ep: 1380 | Steps: 205268 | AvgSPE: 148.7 |Epsilon: 0.1260 | Skor: -1.0 / 1.1
